Current Combination:  _Alpha_Bio_Prot_
Running models_name:  GTN_GIN
Graph and protein mapping loaded successfully!
Number of nodes in graph: 21435
Example mapping: [('Q9NZK7', 0), ('O43822', 1), ('P08567', 2), ('Q0VDF9', 3), ('Q3KR37', 4)]
original g: Graph(num_nodes=21435, num_edges=10277955,
      ndata_schemes={'protvec': Scheme(shape=(300,), dtype=torch.float32), 'biovec': Scheme(shape=(1024,), dtype=torch.float32), 'alphafold': Scheme(shape=(384,), dtype=torch.float32), 'esm': Scheme(shape=(1280,), dtype=torch.float32)}
      edata_schemes={'weight': Scheme(shape=(), dtype=torch.float32)})

======Before Normalizing======
Embedding: protvec
  Shape: torch.Size([21435, 300])
  Min value: -0.4914022386074066
  Max value: 0.4184800088405609

Embedding: biovec
  Shape: torch.Size([21435, 1024])
  Min value: -1.647519588470459
  Max value: 2.2878119945526123

Embedding: alphafold
  Shape: torch.Size([21435, 384])
  Min value: -3139.99267578125
  Max value: 158.50872802734375

Embedding: esm
  Shape: torch.Size([21435, 1280])
  Min value: -8.801618576049805
  Max value: 1.9987815618515015


======After Normalizing======
Embedding: protvec
  Shape: torch.Size([21435, 300])
  Min value: -0.4914022386074066
  Max value: 0.4184800088405609

Embedding: biovec
  Shape: torch.Size([21435, 1024])
  Min value: -1.647519588470459
  Max value: 2.2878119945526123

Embedding: alphafold
  Shape: torch.Size([21435, 384])
  Min value: -3139.99267578125
  Max value: 158.50872802734375

Embedding: esm
  Shape: torch.Size([21435, 1280])
  Min value: -8.801618576049805
  Max value: 1.9987815618515015

g.ndata['concatenated'].shape: torch.Size([21435, 1708])
After Concatenation g: Graph(num_nodes=21435, num_edges=10277955,
      ndata_schemes={'protvec': Scheme(shape=(300,), dtype=torch.float32), 'biovec': Scheme(shape=(1024,), dtype=torch.float32), 'alphafold': Scheme(shape=(384,), dtype=torch.float32), 'esm': Scheme(shape=(1280,), dtype=torch.float32), 'concatenated': Scheme(shape=(1708,), dtype=torch.float32)}
      edata_schemes={'weight': Scheme(shape=(), dtype=torch.float32)})
Graph and protein mapping loaded successfully!
Number of nodes in graph: 21435
Data Loading is completed
Total Number of Edges:  10275677
Train Number of Edges:  7192975
Valid Number of Edges:  2055135
Test Number of Edges:  1027567
Graph Splitting is completed
For Feature: concatenated ; flag 1.10f GTN Model
=================================
Epoch: 00 |  Iteration: 00000 | Loss: 0.7062 | Training Accuracy: 51.1719 | AUC Score: 0.4961
Epoch: 16 |  Iteration: 00000 | Loss: 0.5525 | Training Accuracy: 71.0938 | AUC Score: 0.7801
Epoch: 16 |  Iteration: 04000 | Loss: 0.5558 | Training Accuracy: 70.9961 | AUC Score: 0.7862
Epoch: 16 |  Iteration: 08000 | Loss: 0.5556 | Training Accuracy: 69.1406 | AUC Score: 0.7467
Epoch: 16 |  Iteration: 12000 | Loss: 0.5555 | Training Accuracy: 71.1914 | AUC Score: 0.7770
Epoch: 16 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 62.7517 | AUC Score: 0.6721
Epoch: 17 |  Iteration: 00000 | Loss: 0.5721 | Training Accuracy: 68.8477 | AUC Score: 0.7597
Epoch: 17 |  Iteration: 04000 | Loss: 0.5556 | Training Accuracy: 69.8242 | AUC Score: 0.7763
Epoch: 17 |  Iteration: 08000 | Loss: 0.5554 | Training Accuracy: 70.8008 | AUC Score: 0.7797
Epoch: 17 |  Iteration: 12000 | Loss: 0.5553 | Training Accuracy: 71.5820 | AUC Score: 0.7795
Epoch: 17 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 61.7462 | AUC Score: 0.6618
Epoch: 18 |  Iteration: 00000 | Loss: 0.5634 | Training Accuracy: 71.1914 | AUC Score: 0.7739
Epoch: 18 |  Iteration: 04000 | Loss: 0.5553 | Training Accuracy: 70.9961 | AUC Score: 0.7856
Epoch: 18 |  Iteration: 08000 | Loss: 0.5552 | Training Accuracy: 69.6289 | AUC Score: 0.7723
Epoch: 18 |  Iteration: 12000 | Loss: 0.5551 | Training Accuracy: 70.4102 | AUC Score: 0.7796
Epoch: 18 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 62.4922 | AUC Score: 0.6814
Epoch: 19 |  Iteration: 00000 | Loss: 0.5553 | Training Accuracy: 70.6055 | AUC Score: 0.7765
Epoch: 19 |  Iteration: 04000 | Loss: 0.5550 | Training Accuracy: 68.0664 | AUC Score: 0.7479
Epoch: 19 |  Iteration: 08000 | Loss: 0.5547 | Training Accuracy: 71.7773 | AUC Score: 0.7963
Epoch: 19 |  Iteration: 12000 | Loss: 0.5546 | Training Accuracy: 69.6289 | AUC Score: 0.7678
Epoch: 19 |  Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 61.8255 | AUC Score: 0.6673
Model checkpoint saved to: /data/saiful/ePPI/concatenated embeddings/checkpoints/concatenated_feat_gin_lr_1e-4__Alpha_Bio_Prot__embedding_checkpoint.pth
#---Testing Performance Metrics---#
=== === flag1.11a performance_metrics === ===
Threshold: 2358.70361
True Positive: 0.3169005038114303
False Negative: 0.1830994961885697
True Negative: 0.29998092581797586
False Positive: 0.20001907418202414
confusion_matrix: [[0.29998093 0.20001907]
 [0.1830995  0.3169005 ]]
J   = 0.23376285925881235
MCC = 0.23389681389057537
AUC = 0.6668496133529851
Accuracy using deepdrug method:  = 61.6881%
Precision = 0.6131
Recall = 0.6338
F1 Score = 0.6233
=== === === ===


Epoch: 19 | Final Performance: 00000 | Loss: 0.0000 | Testing Accuracy: 61.6881 | AUC Score: 0.6668


=================================
Execution Finished..
